# Version 1.00
#
freq[Hz],re:Trc1_Z<-S11[Ohm],im:Trc1_Z<-S11[Ohm],
8.540000000000000E+004,1.443848504098233E+003,-1.776417512951955E+003,
8.635500000000000E+004,1.133341060213158E+003,-1.659196953700212E+003,
8.731000000000000E+004,8.365117422039856E+002,-1.613977265973289E+003,
8.826500000000000E+004,6.552587137374275E+002,-1.460827096123523E+003,
8.922000000000000E+004,5.183744351137822E+002,-1.326622452641496E+003,
9.017500000000000E+004,4.091554920450452E+002,-1.201061127996777E+003,
9.113000000000000E+004,3.633758905645522E+002,-1.133412432562673E+003,
9.208500000000000E+004,3.015181145994858E+002,-1.050932275758170E+003,
9.304000000000000E+004,2.560720478731028E+002,-9.668334561604600E+002,
9.399500000000000E+004,2.066125356942865E+002,-8.965137630498543E+002,
9.495000000000000E+004,2.000476079582170E+002,-8.601292109476166E+002,
9.590500000000000E+004,1.749669590884955E+002,-8.128522439817709E+002,
9.686000000000000E+004,1.508298455357644E+002,-7.666008434592111E+002,
9.781500000000000E+004,1.386351351100468E+002,-7.221195579694580E+002,
9.877000000000000E+004,1.222405782358937E+002,-6.876255596501264E+002,
9.972500000000000E+004,1.119945214356389E+002,-6.496447197806646E+002,
1.006800000000000E+005,1.016733868116572E+002,-6.240151722975726E+002,
1.016350000000000E+005,9.211393304532746E+001,-5.933522443094405E+002,
1.025900000000000E+005,8.306909809143023E+001,-5.749190857328309E+002,
1.035450000000000E+005,7.739696242996392E+001,-5.518965345376112E+002,
1.045000000000000E+005,6.985503333482862E+001,-5.253086525269490E+002,
1.054550000000000E+005,6.451353232088063E+001,-5.082341112583102E+002,
1.064100000000000E+005,5.961166583045554E+001,-4.889240031969940E+002,
1.073650000000000E+005,5.506478356171126E+001,-4.737877970655069E+002,
1.083200000000000E+005,4.997699742456386E+001,-4.576934554898118E+002,
1.092750000000000E+005,5.060282654623393E+001,-4.479680218535523E+002,
1.102300000000000E+005,4.828268836222877E+001,-4.368804682317130E+002,
1.111850000000000E+005,4.479933965761998E+001,-4.211512662605121E+002,
1.121400000000000E+005,4.450085036356196E+001,-4.104278101778776E+002,
1.130950000000000E+005,4.073852998364175E+001,-4.006076522651284E+002,
1.140500000000000E+005,3.688593373711926E+001,-3.914303105188363E+002,
1.150050000000000E+005,3.736798968706723E+001,-3.798360407830878E+002,
1.159600000000000E+005,3.514916277642394E+001,-3.723529800120867E+002,
1.169150000000000E+005,3.450153681227603E+001,-3.641358012802724E+002,
1.178700000000000E+005,3.275710345885454E+001,-3.556938767262656E+002,
1.188250000000000E+005,3.136554998513586E+001,-3.479856308748095E+002,
1.197800000000000E+005,3.098065580278711E+001,-3.423052625005126E+002,
1.207350000000000E+005,2.966049002182729E+001,-3.332681353648746E+002,
1.216900000000000E+005,2.790953660610417E+001,-3.280794273160686E+002,
1.226450000000000E+005,2.662002327637013E+001,-3.209742369023308E+002,
1.236000000000000E+005,2.513610665212168E+001,-3.137799798610321E+002,
1.245550000000000E+005,2.589394133971135E+001,-3.079365375723356E+002,
1.255100000000000E+005,2.434495137898916E+001,-3.002863195920091E+002,
1.264650000000000E+005,2.346542496539749E+001,-2.968201471027206E+002,
1.274200000000000E+005,2.266241318809188E+001,-2.909709149342487E+002,
1.283750000000000E+005,2.066483916348976E+001,-2.865172865498874E+002,
1.293300000000000E+005,2.171908166323888E+001,-2.808208180544043E+002,
1.302850000000000E+005,2.099007630053988E+001,-2.766918726099883E+002,
1.312400000000000E+005,2.070698482536427E+001,-2.722269852618273E+002,
1.321950000000000E+005,2.009644337691552E+001,-2.684620186270035E+002,
1.331500000000000E+005,1.949494294948748E+001,-2.640641546844710E+002,
1.341050000000000E+005,1.994159355240756E+001,-2.609514123080211E+002,
1.350600000000000E+005,1.947510256674098E+001,-2.568434559404699E+002,
1.360150000000000E+005,1.930292670826724E+001,-2.532587758337272E+002,
1.369700000000000E+005,1.733298623761542E+001,-2.499388636234616E+002,
1.379250000000000E+005,1.762824081618162E+001,-2.460147876706003E+002,
1.388800000000000E+005,1.767698611069597E+001,-2.430523955731145E+002,
1.398350000000000E+005,1.720155209526690E+001,-2.397255156408410E+002,
1.407900000000000E+005,1.659093707649405E+001,-2.367315697544197E+002,
1.417450000000000E+005,1.693728385827057E+001,-2.335526299045977E+002,
1.427000000000000E+005,1.628432344444791E+001,-2.295939647465457E+002,
1.436550000000000E+005,1.605724861226922E+001,-2.272773482990056E+002,
1.446100000000000E+005,1.520984743285587E+001,-2.243350626968795E+002,
1.455650000000000E+005,1.553365316708724E+001,-2.217226634309664E+002,
1.465200000000000E+005,1.485740880252530E+001,-2.194101973315511E+002,
1.474750000000000E+005,1.456876105267073E+001,-2.160537293373057E+002,
1.484300000000000E+005,1.393131189343950E+001,-2.134870154580233E+002,
1.493850000000000E+005,1.396666101654476E+001,-2.109369572176048E+002,
1.503400000000000E+005,1.294351937491683E+001,-2.098395640275262E+002,
1.512950000000000E+005,1.222188137708645E+001,-2.076300637706370E+002,
1.522500000000000E+005,1.262553677893951E+001,-2.042475070487826E+002,
1.532050000000000E+005,1.149042933034962E+001,-2.025820733846160E+002,
1.541600000000000E+005,1.121135988893019E+001,-2.005043530097726E+002,
1.551150000000000E+005,1.109432235524856E+001,-1.979418219507318E+002,
1.560700000000000E+005,1.089073997380547E+001,-1.957924643230743E+002,
1.570250000000000E+005,1.021153952088194E+001,-1.941052496431865E+002,
1.579800000000000E+005,9.621322415616874E+000,-1.922415632861647E+002,
1.589350000000000E+005,8.553954842731057E+000,-1.894131112817537E+002,
1.598900000000000E+005,8.685159206929091E+000,-1.883698803514943E+002,
1.608450000000000E+005,8.428411134991126E+000,-1.866924083268153E+002,
1.618000000000000E+005,7.975346311274896E+000,-1.846896838885020E+002,
1.627550000000000E+005,7.699738644192778E+000,-1.831821344860180E+002,
1.637100000000000E+005,7.108938637491356E+000,-1.809602931080892E+002,
1.646650000000000E+005,6.853663232141919E+000,-1.787281632470723E+002,
1.656200000000000E+005,5.907232393806143E+000,-1.775332164715753E+002,
1.665750000000000E+005,6.644028829832173E+000,-1.760744327844278E+002,
1.675300000000000E+005,6.477973089425483E+000,-1.740323446314381E+002,
1.684850000000000E+005,6.111100025952461E+000,-1.725626510088213E+002,
1.694400000000000E+005,6.503308831900757E+000,-1.701698629308831E+002,
1.703950000000000E+005,5.523378517229030E+000,-1.690912126812075E+002,
